a	一个
aalii	阿里树
aardvark	土豚
aardwolf	土狼
aba	阿巴
abaca	红蕉
aback	吃惊地
abacus	算盘
abaft	在船尾
abalone	鲍鱼
abamp	安培
abampere	安培
abandon	放弃
abandonment	放弃
abase	贬低
abasement	贬低
abash	使难堪
abashment	尴尬
abasia	失去行动能力
abate	减少
abatement	减少
abatis	障碍物
abator	破坏者
abattis	障碍物
abattoir	屠宰场
abaya	阿拉伯长袍
abbacy	大修道院
abbe	牧师
abbess	女修道院院长
abbey	修道院
abbot	修道院院长
abbreviate	缩写
abbreviation	缩写
abbreviator	缩写者
abcoulomb	安培库仑
abdicate	退位
abdication	退位
abdicator	退位者
abdomen	腹部
abdominal	腹部的
abdominoplasty	腹部整形术
abduce	诱拐
abduct	绑架
abduction	绑架
abductor	绑架者
abeam	在船舷
abecedarian	字母表的
abed	在床上
abele	白杨
abelia	花叶忍冬
abelmosk	麝香草
aberrance	偏差
aberrancy	偏差
aberrant	反常的
aberrate	偏离
aberration	偏差
abet	教唆
abetment	教唆
abettal	教唆
abetter	教唆者
abettor	教唆者
abeyance	中止
abfarad	阿法拉德
abhenry	阿本里
abhor	憎恶
abhorrence	憎恶
abhorrent	可恶的
abhorrer	憎恶者
abidance	遵守
abide	遵守
ability	能力
abiogenist	无生物论者
abject	卑鄙的
abjection	卑鄙
abjectly	卑鄙地
abjuration	放弃
abjure	发誓放弃
abjurer	发誓放弃者
ablactate	断奶
ablactation	断奶
ablate	烧蚀
ablation	烧蚀
ablative	烧蚀的
ablaut	音变
ablaze	着火的
able	能够的
ableism	能力主义
abloom	开花的
ablution	沐浴
ably	能干地
abnegate	放弃
abnegation	放弃
abnegator	放弃者
abnormal	异常的
abnormalcy	异常
abnormality	异常
abnormally	异常地
aboard	在船上
abode	住所
abohm	阿伯姆
abolish	废除
abolishment	废除
abolition	废除
abolitionism	废奴主义
abolitionist	废奴主义者
abominable	可憎的
abominably	可憎地
abominate	痛恨
abomination	憎恶
abominator	仇恨者
aboriginal	土著的
aborigine	土著居民
abort	中止
aborticide	流产药
abortifacient	流产药
abortion	流产
abortionist	流产医生
abortive	失败的
abortus	流产胎儿
aboulia	意志丧失
abound	大量存在
about	关于
above	在上面
aboveboard	光明正大的
abracadabra	魔咒
abrachia	缺乏手臂或腿的人
abradant	研磨剂
abrade	磨损
abrader	研磨器
abrase	磨损
abrasion	磨损
abrasive	研磨剂
abrasively	粗暴地
abrasiveness	粗糙
abreact	宣泄情绪
abreaction	宣泄
abreast	并列
abridge	删节
abridgement	删节
abridger	缩短者
abridgment	删节
abroad	在国外
abrogate	废除
abrogation	废除
abrogator	废除者
abrupt	突然的
abruption	中断
abruptly	突然地
abruptness	突然
abscess	脓肿
abscessed	化脓的
abscessing	发生脓肿
abscise	切除
abscissa	横坐标
abscission	脱离
abscond	潜逃
absconder	逃亡者
abseil	绳降
abseiler	绳降者
absence	缺席
absent	缺席的
absentee	缺席者
absenteeism	旷工
absently	心不在焉地
absentmindedness	心不在焉
absinth	苦艾酒
absinthe	苦艾酒
absolute	绝对的
absolutely	绝对地
absoluteness	绝对性
absolution	宽恕
absolutism	专制主义
absolutist	专制主义者
absolve	赦免
absolver	赦免者
absorb	吸收
absorbance	吸光度
absorbate	被吸附物
absorbency	吸湿性
absorbent	吸收剂
absorber	吸收器
absorptance	吸收率
absorption	吸收
absorptivity	吸光度
absquatulate	潜逃
abstain	戒除
abstainer	戒酒者
abstemious	有节制的
abstemiousness	有节制
abstention	弃权
abstinence	节制
abstinent	节制的
abstract	抽象的
abstractedly	心不在焉地
abstractedness	心不在焉
abstracter	抽象者
abstraction	抽象
abstractionism	抽象主义
abstractionist	抽象主义者
abstractly	抽象地
abstractness	抽象性
abstractor	抽象器
abstruse	深奥的
abstrusely	晦涩地
abstruseness	深奥
abstrusity	深奥性
absurd	荒谬的
absurdity	荒谬
absurdly	荒唐地
absurdness	荒谬
abulia	意志消沉
abundance	丰富
abundant	丰富的
abundantly	丰富地
abuse	滥用
abuser	滥用者
abusive	辱骂的
abusively	辱骂地
abusiveness	辱骂
abut	邻接
abutilon	罗勒花
abutment	桥墩
abutter	邻地业主
abuzz	嗡嗡声
abvolt	阿伏特
abwatt	阿瓦特
aby	深渊
abysm	深渊
abysmal	糟糕的
abysmally	极其地
abyss	深渊
abyssinian	阿比西尼亚的
acacia	洋槐
academe	学术界
academia	学术界
academic	学术的
academical	学术的
academically	学术上
academician	学者
academicism	学院主义
academism	学院主义
academy	学院
acantha	棘
acanthocephalan	棘头动物
acanthoma	棘瘤
acanthopterygian	棘鳍鱼类
acanthus	金鱼草属
acapnia	低碳酸血症
acaricide	杀螨剂
acarid	螨虫
acarine	螨虫
acarophobia	螨虫恐惧症
acarus	螨虫
acatalectic	完整的
accede	同意
accelerando	加速
accelerate	加速
acceleration	加速度
accelerator	加速器
accelerometer	加速度计
accent	口音
accentor	鸟类
accentuate	强调
accentuation	强调
accept	接受
acceptability	可接受性
acceptable	可接受的
acceptableness	可接受性
acceptably	可接受地
acceptance	接受
acceptation	接受
acceptor	受体
access	访问
accessibility	可访问性
accessible	可访问的
accessibly	可访问地
accession	加入
accessory	附件
acciaccatura	附点音符
accidence	语法变化
accident	事故
accidental	偶然的
accidentally	偶然地
accipiter	鹰
acclaim	称赞
acclamation	欢呼
acclimate	适应
acclimation	适应
acclimatisation	适应
acclimatization	适应
acclimatize	适应
acclivity	上坡
accolade	荣誉
accommodate	容纳
accommodation	住宿
accommodator	住宿者
accompaniment	伴奏
accompanist	伴奏者
accompany	陪伴
accompanyist	伴奏者
accomplice	共犯
accomplish	完成
accomplishment	成就
accord	协议
accordance	一致
accordingly	因此
accordion	手风琴
accordionist	手风琴演奏者
accost	搭讪
accouchement	分娩
accoucheur	男接生员
accoucheuse	女接生员
account	账户
accountability	责任
accountable	负责任的
accountancy	会计学
accountant	会计师
accountantship	会计工作
accounting	会计
accouter	装备
accouterment	装备
accoutre	装备
accoutrement	装备
accra	阿克拉
accredit	授权
accreditation	认证
accrete	粘附
accretion	堆积
accrual	应计
accrue	增加
accruement	增加
acculturate	文化适应
acculturation	文化适应
accumulate	积累
accumulation	积累
accumulative	累积的
accumulator	积累器
accuracy	准确性
accurate	准确的
accurately	准确地
accurateness	准确性
accurse	诅咒
accurst	受诅咒的
accusal	控告
accusation	控告
accusative	宾格
accusatory	控诉的
accuse	控告
accuser	控告人
accusingly	指责地
accustom	习惯
ace	王牌
acedia	懒散
acer	枫树
acerb	酸涩的
acerbate	使恶化
acerbic	尖酸的
acerbity	尖酸
acerola	西印度樱桃
acetabulum	髋臼
acetal	缩醛
acetaldehyde	乙醛
acetamide	乙酰胺
acetaminophen	对乙酰氨基酚
acetanilid	对乙酰氨基苯
acetanilide	对乙酰氨基苯
acetate	醋酸盐
acetic	醋的
acetify	使酸化
acetin	乙酸甘油酯
acetone	丙酮
acetophenetidin	对乙酰氨基苯乙酸酯
acetum	醋
acetyl	乙酰
acetylate	乙酰化
acetylation	乙酰化作用
acetylcholine	乙酰胆碱
acetylene	乙炔
acetylize	乙酰化
ache	疼痛
achene	瘦果
achier	更疼痛的
achiest	最疼痛的
achievable	可实现的
achieve	实现
achievement	成就
achiever	成功者
achillea	蓍草
aching	疼痛的
achira	木薯
achlorhydria	无胃酸
acholia	无胆汁
achondrite	非陨石
achondroplasia	软骨发育不全
achoo	阿嚏【打喷嚏声】
achromatic	无色的
achromaticity	无色性
achromatin	无色质
achromatism	无色
achromatize	使无色化
achy	疼痛的
acicula	小针状物
acid	酸
acidemia	酸血症
acidic	酸性的
acidification	酸化
